71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,
71,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,71,
71,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,102,71,
71,116,103,103,103,103,103,188,103,103,103,103,103,103,103,103,103,103,117,71,
71,116,103,103,103,103,103,103,103,103,103,131,103,103,113,103,103,103,117,71,
71,116,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,117,71,
71,116,103,103,114,115,103,103,103,103,113,103,103,103,103,132,103,103,117,71,
71,116,103,103,189,190,103,103,103,103,103,103,103,103,103,103,103,103,117,71,
71,116,103,103,103,103,103,131,103,142,143,146,147,103,103,103,103,103,117,71,
71,116,103,103,103,103,103,103,103,157,158,161,162,103,103,103,103,103,117,71,
71,116,103,103,103,103,103,103,103,103,103,103,103,103,103,188,103,103,117,71,
71,116,103,192,103,103,103,112,103,103,103,103,103,103,103,103,103,103,117,71,
71,116,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,132,117,71,
71,116,103,103,103,103,103,103,103,131,103,103,103,191,103,103,103,103,117,71,
71,116,103,103,103,132,103,113,103,103,103,103,103,103,103,103,188,103,117,71,
71,116,188,103,103,103,103,103,103,103,103,103,103,103,113,103,103,103,117,71,
71,116,103,103,103,103,103,103,103,103,131,103,103,103,103,103,131,103,117,71,
71,116,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,117,71,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
